Decile,Mean_Pred,SD_Pred,Mean_Actual,SD_Actual,SR_Pred,SR_Actual,New_Decile
1,-1.7935547250677422,0.4194252927305467,-0.030096262128441405,0.7901577495889227,-4.276219761071929,-0.03808892862735182,1
2,-1.073741357881361,0.21507868200176097,-0.11407279596093016,0.51566037760025,-4.99231884763256,-0.22121691119995576,2
3,-0.6653134882068362,0.16472734098600902,-0.059508520406870956,0.4235451855182003,-4.03887711793602,-0.14050099597770965,3
4,-0.40395251714439967,0.24056081879062774,0.2645608488794274,0.6941202726359581,-1.679211598859663,0.38114554394837613,4
5,-0.15022834337158864,0.2781537471240692,0.017879760400851857,0.9143526922051723,-0.540091028522366,0.019554555428420835,5
6,0.07488742386957993,0.2472170735681712,0.24798845879708006,0.5998465379724557,0.30292173104674097,0.4134198384061815,6
7,0.32733359132323286,0.2041389106077387,0.31857575247004744,0.9410195170999632,1.6034845603355736,0.3385431935055238,7
8,0.6212207602569507,0.24961698688128675,-0.107314398654086,0.9895483131596068,2.4886958536695736,-0.10844786174353974,8
9,1.0452088280261858,0.3639165384771701,-0.0005544463298176502,0.8495094849460226,2.872111370370588,-0.0006526664382715861,9
10,1.6885249879063648,0.5130480131997512,-0.03174501824377024,0.6515398425819405,3.2911636814953433,-0.04872306522034045,10
