,0
OLS,1.3410505862186592
Weighted_Linear_Regression,1.3439580123154466
Huber,1.3328035748811011
ElasticNet,1.3180492941584765
PCR,1.3410505862186592
PLS,1.3268503250248114
Spline_ElasticNet,1.3093919945942734
Neural_Network,1.335013714006194
Gradient_Boosting,1.2721987629431002
Random_Forest,1.2383418008417848
