,Out-of-Sample R²
OLS,0.9835887569742024
PCR,0.9835887569742024
Huber,0.9835371700387767
Weighted_Linear_Regression,0.9834654595356909
PLS,0.9831465262893717
Neural_Network,0.9829726599536885
Spline_ElasticNet,0.982845588695425
ElasticNet,0.9812015427804897
Gradient_Boosting,0.975145058836666
Random_Forest,0.9610419706430217
